star_academy_sessions
Module,Session,Focus,Objectives,Materials,Teacher_Preparations,Performance_Assessment_Questions,,,
Climate Change v1.1,4,Melting Ice,"• Explore the effect of melting ice and permafrost on Arctic people and habitats.
• Measure the rate of ice melt and the associated rise in water level.
• Analyze expected rates of change in amounts of ice cover and freshwater.
• Learn to divide monomials and multiply polynomials.","12"" Ruler, Digital Timer, 2 ""Melting Ice"" Worksheets, Iceberg (if the iceberg is not already set up, gather: 12 Quart Plastic Container and a Block of Ice)",N/A,N/A,,,
Climate Change v1.1,5,Climate Change and Sea Level,"• Review and analyze the effects of climate change on rises in sea level.
• Calculate rates of change in sea level.
• Graph and analyze your ice-melt and water-level data.
• Practice multiplying polynomials.","""Melting Ice"" Worksheet from Session 4",N/A,"1. Explain why it is difficult to determine the effect of climate on sea level change and describe the two major climatic causes of present and projected sea level rise.
2. Define rate of change and calculate the rate of change in millimeters per year, given that sea level has risen approximately 12.6 cm in the past 70 years.
3. Show the printed graphs and tell whether each curve shows a positive or a negative correlation with time.
4. Solve the polynomial multiplication problem (x + 3) (x² – 2x + 2), showing your work and explaining the process used.",,,
Climate Change v1.1,6,Develop a polynomial matrices,"• Divide polynomials by monomials.
• Review implications of climate change on people and organisms.
• Define mitigation.
• Define and manipulate matrices.
• Observe the use of a matrix to illustrate a carbon mitigation plan.",Student Module Notebook,N/A,N/A,,,
Climate Change v1.1,7,Statistics in games,"• Review calculations with polynomials.
• Review descriptions of strategies for carbon stabilization.
• Develop carbon- stabilization plans and illustrate them by creating and manipulating matrices.
• Construct a polynomial equation to describe your final carbon-stabilization solution.","Student Module Notebook, 2 ""Carbon Mitigation"" Worksheets",N/A,"1. Solve the polynomial equation (5x – 2)(x + y – 8) and explain the process you used.
2. Solve the polynomial equation (4x³ – 3x² + 3y²) / 3xy and explain the process you used.
3. Define matrix and explain or show how to add or subtract two matrices.
4. Show the completed ""Carbon Mitigation"" worksheet and explain both the matrix and the polynomial equation describing the carbon mitigation solution.",,,
Confident Consumer,1,Unit Price,"• Define ration and unit price.
• Use ratios to calculate unit prices.
• Determine which items are less expensive when given the sizes and prices of two items.",N/A,N/A,"1. Give an example of a unit of measure for length, mass or weight, and volume.
2. Explain how to calculate unit price.
3. Calculate the unit price, given an item's price and size.
4. Explain how unit price is related to the concept of ratios.",,,
Confident Consumer,2,Useable Unit Price,"• Calculate the total price of items using unit prices and sizes.
• Calculate useable unit prices.
• Use factors beyond unit prices to determine which items are the better value.","Measuring spoons, 4 paper cups, marker, cereal A, cereal B",• Ensure that containers are labeled and full.,N/A,,,
Confident Consumer,3,Paper Towels,• Test absorbency and strength of wet paper towels.,"Paper towels, timer, 2-500 ml beakers marked ""A"" and ""B"", 10 ml graduated cylinder, bottle of water, washers, rubber bands, pipette",• Ensure that containers are labeled and full.,"1. Determine how much water a paper towel will absorb.
2. Create an absorbency ratio.
3. Compare the strength of two types of paper towels.
4. Create a strength ratio.",,,
Confident Consumer,4,Area,• Estimate and calculate the area of three different pizzas.,"Tape measure, tiles, 3 pizza models",N/A,N/A,,,
Confident Consumer,5,Shopping,"• Calculate the amounts and kinds of pizzas and soft drinks to buy.
• Select the least expensive way to buy the pizza and soft drinks.
• Calculate the total cost of the pizza and soft drinks.",N/A,N/A,"1. Determine the amount of food needed to feed 25 people, given the amount needed to feed one person.
2. Determine the best combination of pizzas to order to obtain the amount of pizza desired.
3. Give examples of situations when a combination of pizzas is a better buy than individual pizzas and vice versa.
4. Explain how to determine the amount and type of food and drink needed for the pizza party.",,,
Confident Consumer,6,Plans,• Compare cell phone plans.,N/A,N/A,N/A,,,
Confident Consumer,7,Phone Plans,"• Compare cell phone plans.
• Graph costs of plans.
• Determine per-minute costs.",N/A,N/A,N/A,,,
Dynamic Earth,1,Earth's Uniqueness; Dimensional Analysis,"• Examine Earth as it relates to the universe.
• Observe factors that make Earth unique.
• Use dimensional analysis to convert units.
• Determine the number of centimeters necessary to represent each interior layer of Earth using a given scale.","Pencil or pen, calculator, ""Scale Model of Earth: Part 1"" worksheet, ""Scale Model of Earth: Part 2"" worksheet, Dynamic Earth student module notebook","• Session 1 has a homework component. Students are directed to complete worksheets at home if they do not have time to do so in class. If your class period is 50 minutes or less, students will most likely not finish the assignment in class.
• Students will need to complete page 2 of the ""Scale Model of Earth: Part 1"" worksheet and page 1 of the ""Scale Model of Earth: Part 2"" worksheet. Ideally, these should be completed before advancing to Session 2.",N/A,,,
Dynamic Earth,2,2-D Drawing; Earth Layers; Scale Model,• Use your calculated data to design a two-dimensional scale drawing of Earth's interior.,"Pencil, compass, chipboard, ruler, calculator, ""Scale Model of Earth: Part 2"" worksheet, Dynamic Earth Student Module Notebook, foam cross section Earth Model",N/A,"1. List at least four factors that contribute to Earth's unique ability to support life.
2. Given the appropriate conversion factor(s), use dimensional analysis to convert from one unit to another without changing the value of the original term.
3. Given the proportional scale to use, create an accurate representation of an item.
4. Compare and contrast Earth's sections.",,,
Dynamic Earth,3,Global relief; topographic maps; theory of plate tectonics,"• Explore the global occurrence of relief across the globe.
• Create a topographic map.
• Read and interpret topographic maps.
• Become familiar with the history behind the theory of plate tectonics.","Globe, topographic container and lid, water, baster, dish towel, food coloring, rubber spatula, china marker, white board cleaner, notebook paper",• Students will need water during Session 3. Fill 3-liter pitcher (provided in module) with water prior to start of session 3.,N/A,,,
Dynamic Earth,4,Plate tectonics; plate boundaries; liquefaction,"• Discover how Earth's lithosphere might float on the denser and hotter upper mantle, or asthenosphere.
• Learn that evidence found at mid-ocean ridges suggests that while Earth's geographic poles remain constant, its magnetic poles vary.
• Distinguish among the three main types of plate boundaries by their direction of forces and characteristic features.
• Perform an experiment that demonstrates the process of liquefaction during an earthquake.","EQs Tremor Table, LEGO Block Tower, polyethylene beads container, scratch paper","• A LEGO® tower must be constructed by the instructor prior to the students beginning Session 4. The tower will be used over-and-over again. You will need four small LEGO baseplates and 60 2 × 2 LEGO blocks.
o Create 12 columns of 5 LEGO blocks.
o Place the bottom baseplate in front of you. This will be the first level of your tower.
o Add one column of LEGO blocks on each corner of the baseplate.
o Place a baseplate on top of the four columns.
o Add one column of LEGO blocks to each corner of the second baseplate.
o Place a baseplate on top of the four columns. o Add one column of LEGO blocks to each corner of the third baseplate.
o Place a baseplate on top of the four columns to make the top of your tower.
• Cut two pieces of Velcro (""hook"" side) approximately four inches in length and two pieces of Velcro (""loop"" side) approximately four inches in length.
• Place the two pieces of loop Velcro on the bottom of a Rubbermaid storage container.
• Place the two pieces of hook Velcro on the EQs Tremor table.
• Fill the Rubbermaid storage container about three-fourths full of polyethylene beads. Place the appropriate label on the side of the container.
• A three-in-one sweeper is provided to help clean up any polyethylene bead spills.","1. Identify at least five different layers of Earth.
2. Explain the development of the theory of plate tectonics.
3. Describe the three main types of tectonic plate boundaries and the forces that are exerted at each.
4. Describe the process of liquefaction.",,,
